PID,Speed,MPE,Correct,RT,Effective_Duration_s
1,15.0,2,1,1.1673,0.6612
1,0.0,4,1,0.817,1.8051
1,5.0,4,1,0.698,1.803
1,0.0,8,1,0.9771,1.8049
1,1.5,4,1,1.1808,1.7943
1,15.0,4,1,1.3146,0.6632
1,15.0,8,1,1.1868,0.6625
1,1.5,4,1,0.6581,1.8013
1,5.0,8,1,0.7127,1.8089
1,1.5,8,1,0.8116,1.8065
1,5.0,4,0,0.7831,1.8048
1,1.5,8,1,0.8982,1.8013
1,15.0,2,0,1.0346,0.6658
1,0.0,8,1,0.8603,1.8056
1,0.0,8,1,0.981,1.7993
1,1.5,8,1,0.9828,1.8019
1,5.0,8,1,0.5793,1.8008
1,15.0,2,1,1.2557,0.663
1,0.0,8,1,0.6675,1.8004
1,1.5,2,1,0.9346,1.8016
1,0.0,2,1,0.6669,1.8123
1,15.0,2,1,1.1555,0.6626
1,0.0,2,1,0.8757,1.801
1,5.0,2,0,0.9384,1.8039
1,15.0,8,1,0.8494,0.6607
1,15.0,8,1,1.1528,0.6619
1,5.0,4,1,0.8773,1.8086
1,5.0,8,1,0.6372,1.8062
1,15.0,4,0,1.2304,0.6672
1,15.0,8,0,0.9521,0.6614
1,5.0,4,0,0.5456,1.8038
1,15.0,8,0,0.147,0.6504
1,0.0,4,1,0.9752,1.8049
1,15.0,4,1,0.9011,0.6629
1,15.0,2,1,0.9843,0.6593
1,1.5,8,1,0.8388,1.8048
1,15.0,8,1,1.3109,0.6612
1,15.0,2,0,1.0371,0.657
1,1.5,2,0,0.9457,1.8048
1,0.0,2,1,0.6125,1.8026
1,5.0,8,1,0.7151,1.801
1,5.0,2,1,0.9751,1.8057
1,1.5,2,0,0.7394,1.8054
1,0.0,8,1,4.154,1.8047
1,1.5,2,0,1.0996,1.807
1,15.0,8,1,1.127,0.6628
1,1.5,8,1,0.7491,1.8004
1,15.0,4,0,1.1664,0.6597
1,5.0,8,1,0.6809,1.8111
1,0.0,4,1,0.7287,1.8025
1,15.0,4,1,1.4853,0.6608
1,1.5,4,1,0.8523,1.8093
1,0.0,8,1,0.6775,1.8064
1,5.0,2,0,0.7745,1.8026
1,0.0,8,1,0.7128,1.8017
1,0.0,2,1,0.9651,1.8023
1,15.0,2,1,0.8245,0.6622
1,1.5,2,0,0.8527,1.8063
1,1.5,4,1,0.7463,1.798
1,5.0,8,1,0.7496,1.8086
1,15.0,2,0,0.6557,0.658
1,0.0,8,1,0.6747,1.8063
1,1.5,2,0,0.7873,1.8006
1,5.0,2,1,0.6824,1.8027
1,15.0,8,1,1.1501,0.6628
1,1.5,8,1,0.8077,1.8103
1,1.5,4,1,0.8498,1.8019
1,1.5,2,1,0.902,1.8084
1,15.0,2,1,0.8161,0.6647
1,15.0,2,1,1.3513,0.6591
1,5.0,4,1,0.9303,1.8042
1,5.0,8,1,0.6258,1.8042
1,0.0,4,1,1.0558,1.8045
1,0.0,8,1,0.7199,1.8048
1,1.5,2,0,0.8814,1.8062
1,5.0,2,1,0.5328,1.805
1,5.0,4,1,0.7899,1.8018
1,15.0,2,1,1.0724,0.6587
1,15.0,4,1,0.7039,0.6621
1,0.0,4,1,0.7085,1.8082
1,5.0,8,1,0.6756,1.8024
1,1.5,4,1,1.0299,1.803
1,5.0,4,0,0.6276,1.8032
1,15.0,8,1,1.5198,0.6676
1,15.0,2,1,0.8451,0.666
1,0.0,4,1,0.6238,1.8073
1,5.0,2,1,0.8672,1.8015
1,5.0,2,1,0.6297,1.802
1,5.0,8,1,0.7757,1.8066
1,1.5,8,1,1.0428,1.8084
1,15.0,2,1,1.3713,0.6659
1,15.0,4,0,1.2222,0.668
1,15.0,2,1,1.1839,0.6624
1,15.0,8,1,1.1184,0.6599
1,1.5,2,1,0.7666,1.8016
1,15.0,2,0,1.1597,0.6578
1,1.5,2,0,1.0445,1.8052
1,15.0,2,1,1.1203,0.66
1,5.0,4,1,0.7811,1.8049
1,0.0,4,1,0.457,1.8065
1,5.0,2,1,0.7778,1.8075
1,0.0,8,1,0.7136,1.8082
1,15.0,4,0,0.9656,0.6689
1,1.5,2,0,0.7611,1.8025
1,5.0,4,1,0.8274,1.8081
1,0.0,2,0,0.8492,1.8065
1,5.0,2,0,4.197,1.8105
1,5.0,4,0,0.063,1.8032
1,1.5,4,1,0.9607,1.8051
1,0.0,2,1,0.6214,1.8013
1,0.0,4,0,0.9252,1.8075
1,15.0,4,1,1.0658,0.651
1,0.0,4,1,0.6372,1.8071
1,15.0,2,1,1.0199,0.6596
1,5.0,4,0,0.9973,1.8093
1,1.5,8,1,1.0219,1.8059
1,1.5,8,1,1.0156,1.806
1,15.0,4,1,1.048,0.6684
1,1.5,2,0,0.6933,1.8012
1,1.5,8,1,4.369,1.8058
1,5.0,4,1,0.8678,1.805
1,5.0,2,0,0.6572,1.8108
1,0.0,2,1,1.0086,1.8006
1,0.0,4,1,0.7447,1.803
1,0.0,4,1,0.8258,1.8052
1,0.0,8,1,1.2195,1.8054
1,1.5,4,1,3.52,1.8043
1,0.0,8,1,0.8111,1.8039
1,5.0,8,1,0.6314,1.8132
1,5.0,4,0,0.7506,1.8041
